Month,Category,Time most users are viewing,Location with km radius ,Gender,Age,Language,Video Duration,Video quality
2,Automotive,14.08,893,Male,26,Assamese,0.8,1080
8,Electronics,24.31,645,Genderqueer,35,Malayalam,8.46,1080
5,Beauty,15.4,185,Non-binary,17,Marathi,6.3,1080
1,Music,21.86,565,Male,25,Bislama,5.25,1080
2,Computers,5.94,731,Male,27,Tetum,29.5,1080
6,Beauty,7.52,928,Female,29,Bulgarian,24.34,1080
4,Tools,23.69,207,Male,18,Latvian,3.92,1080
5,Beauty,20.14,822,Female,17,Kurdish,4.23,1080
4,Games,13.88,542,Female,24,Albanian,19.4,1080
5,Games,16.81,872,Male,30,Kurdish,14.24,1080
10,Jewelry,22.68,499,Female,18,Khmer,3.99,1080
2,Clothing,17.64,411,Male,16,Dhivehi,7.82,1080
1,Sports,22.25,588,Female,18,Indonesian,15.54,1080
10,Sports,21.97,396,Non-binary,34,Thai,21.29,1080
12,Baby,12.67,673,Female,25,Marathi,7.03,1080
6,Computers,3.72,766,Female,33,Oriya,9.87,1080
4,Garden,22.13,9,Female,24,Māori,13,1080
6,Garden,27.26,214,Female,21,Japanese,15.92,1080
6,Automotive,0.36,133,Female,17,Danish,8.16,1080
4,Books,22.2,881,Male,27,Bulgarian,0.04,1080
12,Baby,27.14,454,Female,33,Lao,4.68,1080
4,Industrial,16.8,576,Male,38,Spanish,24.11,1080
12,Electronics,22.96,611,Male,21,Swahili,25.81,1080
11,Toys,28.43,60,Polygender,40,Belarusian,25.27,1080
6,Garden,26.68,569,Male,18,Tsonga,22.84,1080
8,Outdoors,22.83,941,Female,31,Swedish,28.76,1080
10,Shoes,11.47,889,Female,16,Swati,21.57,1080
11,Electronics,15.14,912,Female,29,Kannada,0.55,1080
7,Shoes,1.86,416,Female,38,Kurdish,27.84,1080
8,Kids,28.71,806,Female,18,Hiri Motu,20.62,1080
1,Kids,22.92,539,Female,21,Amharic,13.27,1080
9,Music,13,986,Agender,33,Icelandic,19.36,1080
6,Computers,6.09,292,Polygender,18,Kashmiri,27.46,1080
4,Kids,8.2,238,Bigender,25,Tajik,0.4,1080
7,Sports,25.78,136,Male,37,Korean,4.1,1080
9,Kids,14.86,482,Male,30,Gujarati,11.18,1080
5,Kids,1.14,388,Female,25,German,24.5,1080
5,Jewelry,25.46,412,Male,33,Assamese,3.41,1080
6,Baby,24.81,435,Female,24,Indonesian,9.3,1080
3,Garden,13.19,659,Male,26,West Frisian,16.64,1080
7,Health,16.48,285,Genderqueer,30,West Frisian,25.3,1080
12,Beauty,21.01,630,Female,21,Thai,12.27,1080
9,Home,15.71,794,Female,29,Somali,17.89,1080
4,Automotive,23.4,92,Male,32,Moldovan,3.43,1080
10,Movies,9.66,984,Female,39,Marathi,22.59,1080
9,Toys,1.13,362,Male,34,French,10.23,1080
3,Sports,9.74,219,Male,22,Arabic,3.28,1080
9,Beauty,27.65,691,Female,39,Hebrew,22.26,1080
4,Electronics,19.89,354,Male,34,Persian,19.16,1080
2,Movies,27.1,513,Male,33,Bislama,5.27,1080
5,Movies,0.74,843,Male,22,French,5.72,1080
9,Books,14.92,751,Male,32,Swedish,26.92,1080
10,Garden,16.95,751,Female,40,Burmese,28.23,1080
11,Baby,7.23,473,Male,31,Estonian,26.92,1080
