Date,Category,Gender,Age,Location,Language,Video Duration,Time most users are viewing
3/9/2022,Jewelry,Male,35,Himachal Pradesh,Gujarati,22,21
7/19/2022,Movies,Female,38,Bihar,Maithili,16,20
6/24/2022,Health,Female,27,Kerala,Konkani,13,15
4/8/2022,Movies,Female,38,Tamil Nadu,Konkani,27,27
1/28/2022,Games,Female,29,Bihar,Dogri,14,14
4/27/2022,Garden,Female,29,Goa,Malayalam,27,19
2/3/2022,Jewelry,Female,18,Odisha,Malayalam,24,24
3/1/2022,Electronics,Female,23,Goa,Urdu,19,0
10/8/2022,Kids,Male,20,Chhattisgarh,Sindhi,16,23
5/25/2022,Baby,Male,18,Punjab,Tamil,25,16
12/16/2022,Grocery,Female,19,Mizoram,Oriya,21,13
11/30/2022,Computers,Male,35,Punjab,Nepali,8,20
11/14/2022,Beauty,Female,33,Dadra and Nagar Haveli,Santali,30,0
10/8/2022,Games,Male,31,Puducherry,Kannada,28,29
11/3/2022,Health,Male,38,Lakshadweep,Nepali,24,3
6/19/2022,Kids,Male,36,Himachal Pradesh,Gujarati,10,12
6/15/2022,Garden,Female,19,Jammu and Kashmir,Kashmiri,10,21
6/2/2022,Baby,Male,37,Goa,Bodo,7,14
12/26/2022,Tools,Female,19,Punjab,Sindhi,17,25
5/18/2022,Clothing,Male,28,Karnataka,English,29,28
2/16/2022,Electronics,Male,25,Puducherry,Sindhi,9,28
3/4/2022,Automotive,Male,33,Telangana,Kashmiri,13,16
2/23/2022,Movies,Male,20,Telangana,Assamese,7,28
3/23/2022,Kids,Female,30,Andaman and Nicobar,Kannada,18,7
5/12/2022,Music,Female,21,Puducherry,Telugu,13,30
4/1/2022,Grocery,Male,24,Jharkhand,Oriya,8,13
7/23/2022,Garden,Male,30,Bihar,English,27,4
4/21/2022,Electronics,Male,18,Arunachal Pradesh,Tamil,5,17
11/22/2022,Computers,Male,29,Odisha,Gujarati,6,10
10/21/2022,Sports,Female,33,Uttarakhand,English,21,21
12/5/2022,Outdoors,Female,21,Tripura,Bangla,10,19
11/2/2022,Baby,Female,26,Karnataka,Malayalam,5,17
3/29/2022,Toys,Male,32,Tamil Nadu,Nepali,9,0
1/16/2022,Beauty,Male,22,Uttarakhand,Bodo,8,6
11/5/2022,Sports,Female,36,Chhattisgarh,English,17,26
9/8/2022,Home,Male,34,Bihar,Telugu,6,5
4/27/2022,Electronics,Male,31,Odisha,English,22,17
7/17/2022,Sports,Male,24,Chhattisgarh,Santali,29,5
