,Location,No_of_views
0,Dadara & Nagar Havelli,799
1,Arunanchal Pradesh,685
2,Tripura,33
3,Punjab,981
4,Tamil Nadu,587
5,NCT of Delhi,770
6,Tamil Nadu,980
7,Madhya Pradesh,486
8,Jammu & Kashmir,989
9,Kerala,367
10,Jammu & Kashmir,649
11,Uttarakhand,348
12,Uttar Pradesh,871
13,Madhya Pradesh,620
14,Jharkhand,977
15,NCT of Delhi,729
16,Madhya Pradesh,13
17,Jammu & Kashmir,139
18,Dadara & Nagar Havelli,894
19,Sikkim,323
20,Kerala,645
21,Puducherry,97
22,Manipur,543
23,Goa,948
24,Assam,583
25,Telangana,271
26,Maharashtra,610
27,Puducherry,356
28,Bihar,283
29,Andaman & Nicobar Island,331
30,Nagaland,543
31,Uttar Pradesh,212
32,Himachal Pradesh,60
33,Mizoram,132
34,Chandigarh,756
35,Madhya Pradesh,191
36,Uttar Pradesh,156
37,Uttar Pradesh,903
38,Assam,821
39,Nagaland,847
40,Chhattisgarh,472
41,Arunanchal Pradesh,960
42,Gujarat,790
43,Karnataka,282
44,Chhattisgarh,978
45,Telangana,778
46,Himachal Pradesh,116
47,Andhra Pradesh,639
48,Madhya Pradesh,977
49,Rajasthan,144
50,Daman & Diu,623
51,Arunanchal Pradesh,166
52,Rajasthan,953
53,Odisha,186
54,Mizoram,78
55,Andaman & Nicobar Island,817
56,Tamil Nadu,796
57,Rajasthan,493
58,Arunanchal Pradesh,475
59,Daman & Diu,546
60,Manipur,59
61,Jharkhand,818
62,Andaman & Nicobar Island,564
63,Tripura,104
64,Manipur,43
65,Mizoram,708
66,Karnataka,143
67,Jammu & Kashmir,44
68,Kerala,840
69,Goa,847
70,Goa,53
71,West Bengal,149
72,Gujarat,596
73,Haryana,989
74,Karnataka,471
75,Bihar,305
76,Punjab,492
77,Rajasthan,455
78,Odisha,961
79,Nagaland,759
80,Tripura,134
81,Daman & Diu,102
82,Haryana,302
83,West Bengal,666
84,Maharashtra,93
85,Assam,472
86,Daman & Diu,495
87,Assam,384
88,Tamil Nadu,342
89,Nagaland,883
90,Manipur,186
91,Meghalaya,100
92,Andhra Pradesh,924
93,Haryana,731
94,Telangana,667
95,Nagaland,380
96,Karnataka,484
97,Sikkim,564
98,Punjab,184
99,Uttarakhand,757
100,Himachal Pradesh,829
101,Puducherry,148
102,Gujarat,475
103,Madhya Pradesh,856
104,Madhya Pradesh,266
105,Madhya Pradesh,468
106,Rajasthan,529
107,Arunanchal Pradesh,258
108,Kerala,530
109,Rajasthan,994
110,Nagaland,214
111,Puducherry,200
112,Gujarat,679
113,Dadara & Nagar Havelli,555
114,NCT of Delhi,860
115,Meghalaya,525
116,Tripura,0
117,Bihar,645
118,Chandigarh,666
119,Tripura,30
120,Odisha,667
121,Haryana,934
122,Assam,50
123,Lakshadweep,272
124,Andaman & Nicobar Island,636
125,Gujarat,814
126,Lakshadweep,184
127,Gujarat,211
128,Himachal Pradesh,806
129,Nagaland,951
130,Puducherry,513
131,Chandigarh,657
132,Haryana,787
133,Jharkhand,300
134,Lakshadweep,904
135,Manipur,362
136,Arunanchal Pradesh,620
137,Arunanchal Pradesh,227
138,Karnataka,218
139,Manipur,3
140,Lakshadweep,540
141,Kerala,165
142,Manipur,674
143,Nagaland,828
144,Goa,18
145,Mizoram,999
146,Madhya Pradesh,874
147,Odisha,933
148,Mizoram,578
149,West Bengal,398
150,Andaman & Nicobar Island,474
151,Tripura,619
152,Goa,215
153,Uttarakhand,670
154,Chhattisgarh,518
155,Haryana,487
156,Uttarakhand,724
157,Karnataka,520
158,Assam,859
159,Uttar Pradesh,608
160,Uttarakhand,998
161,Madhya Pradesh,368
162,NCT of Delhi,904
163,Sikkim,366
164,West Bengal,631
165,Karnataka,622
166,Daman & Diu,21
167,Sikkim,591
168,Meghalaya,154
169,Assam,262
170,Gujarat,435
171,Bihar,62
172,NCT of Delhi,361
173,Bihar,853
174,Lakshadweep,875
175,Chhattisgarh,731
176,Sikkim,63
177,Manipur,792
178,Chhattisgarh,365
179,Tamil Nadu,806
180,Tamil Nadu,878
181,Meghalaya,652
182,Sikkim,276
183,Jharkhand,628
184,Madhya Pradesh,343
185,Kerala,482
186,Himachal Pradesh,455
187,Himachal Pradesh,438
188,Karnataka,307
189,Puducherry,929
190,NCT of Delhi,500
191,Odisha,270
192,Jammu & Kashmir,426
193,Jharkhand,122
194,Andaman & Nicobar Island,21
195,Uttar Pradesh,25
196,Odisha,148
197,Bihar,956
198,Chhattisgarh,781
199,Odisha,133
200,Telangana,654
201,Assam,253
202,Assam,567
203,Arunanchal Pradesh,80
204,Chandigarh,566
205,Bihar,511
206,Manipur,542
207,Chhattisgarh,875
208,Gujarat,805
209,Andaman & Nicobar Island,925
210,Telangana,700
211,Andaman & Nicobar Island,173
212,Uttarakhand,35
213,Rajasthan,83
214,Maharashtra,753
215,Dadara & Nagar Havelli,35
216,Andaman & Nicobar Island,212
217,Daman & Diu,117
218,Andaman & Nicobar Island,672
219,Dadara & Nagar Havelli,492
220,Assam,926
221,Chandigarh,219
222,Andaman & Nicobar Island,552
223,Puducherry,248
224,Chhattisgarh,954
225,Karnataka,769
226,Mizoram,497
227,Puducherry,6
228,Rajasthan,119
229,Telangana,548
230,Mizoram,648
231,Goa,716
232,Jharkhand,643
233,Mizoram,0
234,Goa,258
235,Bihar,625
236,Himachal Pradesh,708
237,Arunanchal Pradesh,624
238,Rajasthan,438
239,Bihar,175
240,Mizoram,31
241,Punjab,643
242,Madhya Pradesh,273
243,Andaman & Nicobar Island,151
244,Daman & Diu,499
245,Puducherry,47
246,Andhra Pradesh,639
247,Goa,321
248,Gujarat,729
249,Lakshadweep,240
250,Dadara & Nagar Havelli,501
251,Karnataka,815
252,Himachal Pradesh,45
253,Daman & Diu,161
254,Uttar Pradesh,534
255,Maharashtra,893
256,Telangana,164
257,Sikkim,571
258,Jharkhand,785
259,Punjab,372
260,NCT of Delhi,783
261,Tamil Nadu,276
262,Manipur,726
263,Rajasthan,908
264,Odisha,464
265,Chhattisgarh,25
266,Daman & Diu,13
